"","Organism Group","Life Stage","Species","Estimated Maximum Ingestible Size (mm)","Level of Biological Organization","Exposure Route","Environment","Acute/Chronic","Exposure Duration (days)","translocatable","Effect Score","Effect Metric","Broad Endpoint Category","Specific Endpoint Category","Empirical Tissue Translocation ERM Conc. (log 10 particles/mL; 1-5,000 um)","Empirical Food Dilution ERM Conc. (log 10 particles/mL; 1-5,000 um)","PA_fraction","PE_fraction","PET_fraction","PLA_fraction","PMMA_fraction","PP_fraction","PS_fraction","PUR_fraction","PVC_fraction","fiber_fraction","fragment_fraction","sphere_fraction"
"628","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"LOEC","Metabolism","Oxidative Stress",0.825196813216299,-1.42092752555315,0,0,0,0,0,0,1,0,0,0,0,1
"629","Crustacea","Juvenile","Gammarus pulex",1.44941288885944,"subcell","water","Freshwater","Chronic",48,"translocatable",1,"not_available","Metabolism","Lipid Metabolism",4.85376040058848,3.18774020363815,0,0,1,0,0,0,0,0,0,0,1,0
"630","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"NOEC","Fitness","Sex Hormones",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"631","Crustacea","Early","Hyalella azteca",0.112,"organism","water","Freshwater","Acute",10,"translocatable",6,"NOEC","Fitness","Mortality",3.97986389208265,3.41501751664807,0,1,0,0,0,0,0,0,0,0,1,0
"632","Mollusca","Adult","Crassostrea gigas",9.51890176843551,"subcell","water","Marine","Acute",10,"non-translocatable",1,"not_available","Metabolism","Oxidative Stress",4.41050225141479,2.4602140482723,0,1,0,0,0,0,0,0,0,0,1,0
"633","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Metabolism","Oxidative Stress",1.78455794103142,-0.461566397738024,0,0,0,0,0,0,1,0,0,0,0,1
"634","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Metabolism","Oxidative Stress",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"635","Crustacea","Early","Tigriopus japonicus",0.168691080099539,"organism","water","Marine","Acute",14,"translocatable",6,"not_available","Fitness","Mortality",2.65510784699045,2.08458114431819,0,0,0,0,0,0,1,0,0,0,0,1
"636","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Metabolism","Oxidative Stress",1.78455794103142,-0.461566397738024,0,0,0,0,0,0,1,0,0,0,0,1
"637","Fish","Adult","Danio rerio",0.4,"organism","water","Freshwater","Acute",10,"non-translocatable",6,"not_available","Fitness","Mortality",3.58039377744645,2.88403126637147,0,0,0,0,0,1,0,0,0,0,1,0
"638","Crustacea","Early","Hyalella azteca",0.112,"organism","water","Freshwater","Acute",10,"translocatable",6,"not_available","Fitness","Mortality",1.97986389208265,1.41501751664807,0,1,0,0,0,0,0,0,0,0,1,0
"639","Mollusca","Adult","Crassostrea gigas",9.51890176843551,"subcell","water","Marine","Acute",10,"non-translocatable",1,"not_available","Metabolism","Oxidative Stress",1.31552673818394,-0.634761464958561,0,1,0,0,0,0,0,0,0,0,1,0
"640","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Fitness","Sex Hormones",1.78455794103142,-0.461566397738024,0,0,0,0,0,0,1,0,0,0,0,1
"641","Mollusca","Early","Mytilus galloprovincialis",9.51890176843551,"organism","water","Marine","Acute",2,"translocatable",3,"NOEC","Fitness","Development",6.4534223953616,3.29702582312316,0,1,0,0,0,0,0,0,0,0,1,0
"642","Crustacea","Early","Tigriopus japonicus",0.168691080099539,"organism","water","Marine","Acute",4,"translocatable",6,"not_available","Fitness","Mortality",4.67214118603049,4.10161448335823,0,0,0,0,0,0,1,0,0,0,0,1
"643","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"NOEC","Fitness","Sex Hormones",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"644","Mollusca","Adult","Crassostrea gigas",9.51890176843551,"subcell","water","Marine","Acute",10,"non-translocatable",1,"not_available","Metabolism","Detoxification",1.01902327956775,-1.07951665288284,0,0,0,0,0,1,0,0,0,0,1,0
"645","Mollusca","Adult","Crassostrea gigas",9.51890176843551,"subcell","water","Marine","Acute",10,"non-translocatable",1,"not_available","Metabolism","Oxidative Stress",1.31552673818394,-0.634761464958561,0,1,0,0,0,0,0,0,0,0,1,0
"646","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"LOEC","Metabolism","Oxidative Stress",0.825196813216299,-1.42092752555315,0,0,0,0,0,0,1,0,0,0,0,1
"647","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Metabolism","Detoxification",1.78455794103142,-0.461566397738024,0,0,0,0,0,0,1,0,0,0,0,1
"648","Crustacea","Early","Daphnia magna",0.11487,"organism","water","Freshwater","Chronic",21,"translocatable",4,"not_available","Fitness","Reproduction",4.27546713121826,2.84121197712832,0,1,0,0,0,0,0,0,0,0,1,0
"649","Crustacea","Early","Artemia parthenogenetica",0.27,"organism","water","Marine","Acute",14,"translocatable",3,"not_available","Fitness","Development",2.12711008256417,1.4803012036964,0,0,0,0,0,0,1,0,0,0,0,1
"650","Mollusca","Adult","Crassostrea gigas",9.51890176843551,"subcell","water","Marine","Acute",10,"non-translocatable",1,"NOEC","Metabolism","Oxidative Stress",5.11399879279861,3.01545886034801,0,0,0,0,0,1,0,0,0,0,1,0
"651","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"LOEC","Metabolism","Oxidative Stress",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"652","Crustacea","Early","Paracyclopina nana",0.168691080099539,"organism","water","Marine","Acute",7,"translocatable",4,"not_available","Fitness","Reproduction",4.56531327108889,3.99478656841663,0,0,0,0,0,0,1,0,0,0,0,1
"653","Fish","Early","Danio rerio",0.4,"subcell","water","Freshwater","Acute",20,"translocatable",1,"not_available","Stress","Stress",4.55476334906748,2.90450562523854,0,1,0,0,0,0,0,0,0,0,1,0
"654","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Fitness","Sex Hormones",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"655","Fish","Early","Danio rerio",0.4,"tissue","water","Freshwater","Acute",20,"translocatable",1,"not_available","Circulatory, Respiratory","Gill Histological Abnormalities",3.55476334906748,1.90450562523854,0,1,0,0,0,0,0,0,0,0,1,0
"656","Mollusca","Early","Crepidula onyx",4.0445581424139,"organism","water","Marine","Chronic",95,"translocatable",6,"not_available","Fitness","Mortality",4.46494272608358,0.865434487746354,0,0,0,0,0,0,1,0,0,0,0,1
"657","Crustacea","Juvenile","Daphnia magna",0.11487,"organism","water","Freshwater","Chronic",21,"translocatable",6,"not_available","Fitness","Mortality",6.64332266057375,6.56494617015513,0,0,0,0,0,0,0,1,0,0,1,0
"658","Crustacea","Early","Daphnia magna",0.11487,"organism","water","Freshwater","Chronic",21,"translocatable",4,"not_available","Fitness","Reproduction",2.9697952171554,2.25704646243326,0,0,0,0,0,0,1,0,0,0,0,1
"659","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",8,"non-translocatable",4,"not_available","Fitness","Reproduction",2.41418269816051,3.09339760500597,0,0,1,0,0,0,0,0,0,1,0,0
"660","Rotifera","Early","Brachionus koreanus",0.0547861879401367,"organism","water","Marine","Acute",12,"translocatable",6,"not_available","Fitness","Mortality",-0.259221181770829,-0.24655922583403,0,0,0,0,0,0,1,0,0,0,0,1
"661","Mollusca","Adult","Crassostrea gigas",9.51890176843551,"subcell","water","Marine","Acute",10,"non-translocatable",1,"not_available","Metabolism","Oxidative Stress",4.41050225141479,2.4602140482723,0,1,0,0,0,0,0,0,0,0,1,0
"662","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"LOEC","Metabolism","Oxidative Stress",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"663","Crustacea","Early","Paracyclopina nana",0.168691080099539,"organism","water","Marine","Acute",7,"translocatable",3,"not_available","Fitness","Development",2.56531327108889,1.99478656841663,0,0,0,0,0,0,1,0,0,0,0,1
"664","Fish","Adult","Danio rerio",0.4,"organism","water","Freshwater","Acute",10,"non-translocatable",6,"not_available","Fitness","Mortality",0.58039376885088,-0.1159687422241,0,0,0,0,0,1,0,0,0,0,1,0
"665","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"LOEC","Metabolism","Oxidative Stress",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"666","Crustacea","Early","Tigriopus fulvus",0.104679876581976,"organism","water","Marine","Acute",2,"translocatable",6,"NOEC","Fitness","Mortality",5.81893132474007,4.89799206443084,0,1,0,0,0,0,0,0,0,0,1,0
"667","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"LOEC","Fitness","Reproduction",1.78455794103142,-0.461566397738024,0,0,0,0,0,0,1,0,0,0,0,1
"668","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"NOEC","Metabolism","Detoxification",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"669","Fish","Adult","Danio rerio",0.4,"organism","water","Freshwater","Acute",10,"non-translocatable",6,"not_available","Fitness","Mortality",1.35390434753201,0.698934521615258,0,0,0,0,0,0,0,0,1,0,1,0
"670","Fish","Early","Danio rerio",0.4,"subcell","water","Freshwater","Acute",20,"translocatable",1,"not_available","Stress","Stress",4.55476334906748,2.90450562523854,0,1,0,0,0,0,0,0,0,0,1,0
"671","Mollusca","Early","Mytilus galloprovincialis",9.51890176843551,"organism","water","Marine","Acute",2,"translocatable",3,"NOEC","Fitness","Development",5.75224966995034,3.14342011952743,0,1,0,0,0,0,0,0,0,0,1,0
"672","Fish","Early","Danio rerio",0.4,"subcell","water","Freshwater","Acute",20,"translocatable",1,"not_available","Stress","Stress",3.55476334906748,1.90450562523854,0,1,0,0,0,0,0,0,0,0,1,0
"673","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Metabolism","Detoxification",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"674","Crustacea","Early","Tigriopus japonicus",0.168691080099539,"organism","water","Marine","Acute",14,"translocatable",3,"not_available","Fitness","Development",2.65510784699045,2.08458114431819,0,0,0,0,0,0,1,0,0,0,0,1
"675","Mollusca","Adult","Crassostrea gigas",9.51890176843551,"subcell","water","Marine","Acute",10,"non-translocatable",1,"NOEC","Metabolism","Detoxification",5.41050225141479,3.4602140482723,0,1,0,0,0,0,0,0,0,0,1,0
"676","Mollusca","Early","Crassostrea gigas",9.51890176843551,"organism","water","Marine","Acute",1.5,"translocatable",3,"not_available","Fitness","Development",3.03531908855465,-0.310089614025701,0,0,0,0,0,0,1,0,0,0,0,1
"677","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",8,"translocatable",6,"not_available","Fitness","Mortality",-0.317456423079534,-0.677914220825225,0,1,0,0,0,0,0,0,0,0,0,1
"678","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"NOEC","Fitness","Sex Hormones",1.78455794103142,-0.461566397738024,0,0,0,0,0,0,1,0,0,0,0,1
